ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,6,7,7,7,6,6,6,7,6,7,7,5,7,6,7,5,5,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6,7,5,7,7,7,7,7,7,7,7
2,7,7,7,7,6,6,7,6,7,7,6,7,7,7,6,5,7,6,7,7,7,7,6,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
3,6,7,7,7,7,5,7,7,6,7,4,5,7,3,6,3,7,6,7,7,7,2,6,7,6,6,7,6,6,6,6,6,3,6,7,7,7,6,6,6,7,7,5,7,7,1,7,7
4,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,5,5,4,3,2,2,3,3,3,5,2,2,6,2,2,2,4,6,4,6,5,2,2,4,4,5,2,3,4,5,4,5,2,3,6,3,6,5,4,2,6,6,4,5,5,4,2,2
7,7,7,7,7,5,5,7,7,7,7,7,6,7,7,5,4,5,4,7,6,7,7,4,7,6,7,7,4,7,6,7,7,6,7,6,7,7,7,6,3,7,6,6,6,7,7,6,7
8,6,7,6,7,5,6,7,5,6,6,6,5,5,6,5,4,5,5,7,5,6,5,5,7,6,7,7,5,6,6,6,7,5,7,7,7,7,7,5,3,7,7,7,7,7,7,6,5
9,7,7,6,7,7,6,7,7,6,7,7,7,7,6,6,5,7,5,7,7,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6
10,3,6,5,4,3,1,2,7,3,5,2,3,6,2,3,4,2,3,7,7,4,5,2,3,3,7,5,6,4,6,5,6,3,6,2,5,5,6,1,2,7,7,3,5,7,7,4,5
11,7,7,7,6,7,7,7,7,7,7,7,7,7,5,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,7,3,7,7,7,7,6
12,7,7,7,6,7,5,7,7,6,7,6,7,7,5,4,5,6,5,7,7,7,5,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7
13,7,7,7,6,7,7,7,5,6,5,7,6,7,5,7,4,6,5,7,7,7,5,6,7,5,5,7,7,6,7,5,4,7,6,7,6,5,7,5,6,7,6,7,7,7,5,6,4
14,5,3,6,2,6,4,3,4,3,5,4,4,6,5,5,4,2,4,5,5,6,2,2,6,4,6,6,5,6,6,4,5,6,4,5,5,5,2,4,5,6,5,4,3,6,4,5,3
15,7,7,7,6,7,3,6,7,7,7,6,6,7,4,2,2,6,1,7,7,6,7,7,7,7,7,6,1,6,7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7
16,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
17,6,6,6,7,5,6,3,6,6,3,3,5,6,6,7,6,2,2,6,6,2,6,7,6,7,7,5,6,6,6,5,6,4,7,7,6,5,6,4,5,6,7,6,6,5,5,4,3
18,4,6,4,5,5,5,6,3,4,6,4,5,7,5,5,3,6,5,6,6,6,5,3,6,3,5,5,4,3,5,4,6,5,3,6,5,4,4,5,4,7,5,6,6,6,2,5,5
19,4,5,5,4,4,2,4,4,4,4,3,4,6,4,3,4,2,4,5,7,4,3,5,3,4,5,5,3,4,4,3,5,4,3,6,6,4,3,3,5,6,4,3,6,7,4,3,3
20,6,6,5,7,7,5,7,5,6,7,3,7,7,4,3,3,4,5,6,7,6,6,6,7,5,7,2,7,7,5,7,7,1,7,7,7,3,7,6,3,6,7,6,7,7,6,7,4
