ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,7,6,7,7,7,7,7,7,7,6,7,6,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,6,6,7,5,7,7,5,7,1,6,1,1,6,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
3,7,6,6,7,7,7,5,7,7,7,5,6,6,6,5,6,6,7,7,7,6,7,6,7,7,6,7,6,7,6,7,7,7,7,6,6,6,7,7,6
4,5,3,6,5,5,6,2,6,1,2,2,1,3,1,1,2,1,5,3,5,6,6,5,3,6,6,6,5,5,7,7,6,6,5,7,7,6,6,7,5
5,7,6,7,7,7,7,7,7,7,6,6,6,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,3,5,7,3,3,6,4,5,4,2,2,3,2,2,3,5,6,6,7,7,6,7,6,6,7,5,5,5,5,6,7,7,7,5,7,7,3,5,7,7
7,7,5,6,7,5,3,3,5,3,5,5,3,5,2,3,3,3,6,6,3,7,3,2,2,6,5,6,3,6,6,6,3,7,6,7,7,3,5,6,7
8,5,5,4,6,7,7,4,6,1,3,3,2,3,1,2,3,5,7,6,6,6,7,7,3,7,6,6,4,5,7,7,7,7,7,5,7,7,6,7,7
9,7,6,5,5,4,5,5,1,1,1,1,1,1,1,1,1,3,7,5,2,4,7,5,1,5,5,1,1,1,4,6,5,7,5,6,7,7,5,5,7
10,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,7,5,4,4,4,4,4,4,4,4,4,6,4,4,5,4,7,7,7,7,4,6,6,4
11,6,5,7,6,7,7,6,5,2,3,3,4,3,3,2,4,2,6,6,5,5,3,7,3,7,6,7,3,6,7,7,7,7,6,7,7,7,7,7,7
12,6,5,6,4,6,4,5,6,2,4,6,3,5,2,1,6,5,5,5,7,5,5,4,3,7,5,6,5,6,6,6,5,7,6,7,6,5,4,7,4
13,7,5,7,7,3,7,7,7,1,2,3,1,3,1,1,1,1,7,7,7,7,7,7,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
14,5,4,7,6,5,3,5,2,1,3,3,2,3,1,1,2,3,6,6,6,5,3,5,3,7,7,6,5,5,7,7,2,6,7,7,7,1,6,7,7
15,7,3,7,7,4,6,2,5,1,5,3,3,3,1,1,3,6,6,7,7,6,6,5,2,7,5,5,7,7,6,7,7,6,6,7,6,4,7,6,7
16,7,7,7,7,7,7,7,7,7,6,6,6,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
17,5,3,6,5,6,7,6,6,1,4,3,6,2,1,3,6,5,6,6,6,6,5,6,5,7,6,6,6,6,7,7,6,6,7,7,7,5,7,5,5
18,6,6,4,6,5,6,2,5,1,2,2,2,2,1,1,2,5,6,6,3,7,6,7,3,7,6,4,6,5,7,6,7,7,5,7,6,7,7,6,7
19,7,6,7,7,7,5,1,4,1,1,1,1,1,1,1,7,7,6,7,7,7,7,7,1,7,1,5,7,7,7,7,7,7,7,6,7,6,7,7,7
20,7,7,7,7,7,7,7,7,3,7,6,6,6,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21,7,6,7,7,7,7,2,2,1,7,7,6,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7
22,5,6,7,6,6,5,5,6,1,6,3,4,6,1,1,4,5,7,7,6,6,5,6,4,7,5,6,6,5,6,6,5,6,6,7,7,6,5,6,6
23,7,7,7,7,6,7,6,6,2,4,3,6,3,3,3,6,7,6,7,6,7,6,7,6,7,6,7,6,6,6,7,7,7,6,7,6,6,7,6,7
24,7,7,7,7,5,6,6,6,1,5,4,1,4,1,1,2,4,6,7,4,7,6,4,2,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
25,6,5,5,6,5,4,6,5,1,4,4,5,4,2,1,7,7,4,6,6,5,6,6,7,7,5,6,5,6,7,7,6,6,5,6,6,6,7,5,6
26,7,6,7,7,7,7,7,7,7,6,5,6,7,5,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
27,7,6,6,7,7,7,6,6,2,6,4,3,6,2,4,6,5,7,6,7,7,6,6,5,7,7,7,7,7,7,6,7,7,6,6,7,5,7,7,7
28,7,4,5,3,5,1,7,3,1,1,1,4,7,1,3,5,2,7,5,1,7,7,7,7,7,3,3,1,6,6,1,5,7,5,2,7,7,5,7,6
